location,bath,price,total_sqft_int,BHK
Raja Rajeshwari Nagar,2.0,48.0,1419.0,2
Ambedkar Nagar,5.0,627.0,5530.0,5
Ashirvad Colony,2.0,53.0,1100.0,2
Nagavarapalya,2.0,99.0,1392.0,2
Jakkur,3.0,120.0,1798.0,3
Babusapalaya,3.0,75.0,1675.0,3
Bhuvaneswari Nagar,2.0,70.0,792.0,2
Varanasi,4.0,103.0,2000.0,5
Hebbal,3.0,124.0,1700.0,3
Hulimavu,2.0,69.0,1248.0,2
Kalkere,2.0,54.0,1147.0,2
Sultan Palaya,2.0,40.0,1100.0,2
Vijayanagar,3.0,115.0,1527.0,3
Shantiniketan Layout,5.0,235.0,2400.0,5
Kanakpura Road,1.0,25.0,525.0,1
Kaggadasapura,2.0,58.0,1100.0,2
Seegehalli,2.0,37.5,1118.0,2
Kanakapura,3.0,75.0,1476.0,3
Gopal Reddy Layout,3.0,75.0,2100.0,3
Roopena Agrahara,2.0,46.5,1215.0,3
Ambalipura,2.0,79.0,1332.0,2
Hennur Road,2.0,49.0,1350.0,2
Haralur Road,2.0,46.0,1243.0,2
NGR Layout,2.0,49.73,1105.0,2
Padmanabhanagar,2.0,200.0,1500.0,3
Kasavanhalli,2.0,50.0,1200.0,2
Ramagondanahalli,2.0,47.4,1251.0,2
Kambipura,2.0,45.0,883.0,2
Rajaji Nagar,3.0,260.0,1800.0,3
Hegde Nagar,3.0,113.0,1703.0,3
NRI Layout,5.0,130.0,2500.0,5
Varthur,3.0,71.0,1250.0,3
Jigani,2.0,43.0,933.0,2
sankeswari,1.0,31.7,461.82,1
Brookefield,2.0,75.0,1262.0,2
Yelahanka,2.0,48.0,915.0,2
Malleshpalya,2.0,55.0,1210.0,2
Kodihalli,4.0,260.0,2392.0,3
T c palya,2.0,85.0,1500.0,3
Govindraja Nagar,2.0,50.0,1065.0,2
Rajaji Nagar,4.0,570.0,3100.0,4
Sarjapura - Attibele Road,4.0,110.0,1800.0,4
Uttarahalli,2.0,55.0,1300.0,3
Vijayanagar,2.0,60.0,989.0,2
Jakkur,2.0,85.0,1300.0,2
Marathahalli,2.0,60.0,1045.0,2
Virat Nagar,2.0,42.18,1205.0,2
Chennammanakere Achukattu,2.0,75.0,1260.0,2
Ulsoor,2.0,125.0,1500.0,3
"Maragondana Halli, kr puram, old madras road",2.0,50.0,1199.0,2
Hennur Road,2.0,83.09,1385.0,2
Lakshminarayana Pura,2.0,75.0,1149.0,2
Sarjapur  Road,3.0,170.0,2180.0,3
Hulimavu,3.0,135.0,1818.0,3
Volagerekallahalli,2.0,33.0,1070.0,2
Rajaji Nagar,3.0,241.0,1640.0,3
Hoodi,2.0,113.0,1430.0,2
Nagavara,4.0,180.0,2430.0,3
Sarjapur  Road,2.0,55.0,1084.0,2
Haralur Road,5.0,240.0,3400.0,4
Iblur Village,5.0,282.0,3596.0,4
Raja Rajeshwari Nagar,2.0,70.0,1295.0,2
Sanjeevini Nagar,3.0,285.0,2820.0,3
Rajaji Nagar,2.0,170.0,1370.0,2
JP Nagar,2.0,62.0,1200.0,2
Gunjur,3.0,95.0,2000.0,4
9th Phase JP Nagar,4.0,300.0,3500.0,4
Kengeri,5.0,253.0,2400.0,4
Kanakapura Road,3.0,130.0,1950.0,3
Somasundara Palya,2.0,73.0,1178.0,2
Begur Road,2.0,42.0,1160.0,2
Jigani,2.0,55.0,918.0,2
Electronic City,3.0,91.84,1563.0,3
Govindpura,2.0,62.17,1326.0,2
3rd Block Jayanagar,2.0,140.0,1350.0,3
Hebbal,5.0,386.0,3960.0,4
Begur Road,2.0,39.06,1240.0,2
Kaggadasapura,2.0,50.0,1325.0,2
Sonnenahalli,2.0,44.0,1100.0,2
Cunningham Road,3.0,800.0,3875.0,3
Somasundara Palya,2.0,60.0,1260.0,2
Arekere,2.0,125.0,1445.0,3
Murugeshpalya,3.0,74.0,1550.0,3
Electronics City Phase 1,2.0,80.91,1515.0,3
Hosa Road,2.0,86.12,1332.0,3
Hegde Nagar,3.0,105.0,1570.0,3
Sarjapur  Road,4.0,725.0,5400.0,4
Sector 2 HSR Layout,1.0,60.0,794.0,1
Seegehalli,2.0,62.0,1200.0,3
7th Phase JP Nagar,3.0,410.0,3600.0,4
Hosakerehalli,3.0,175.0,1200.0,3
JP Nagar,3.0,220.0,1650.0,4
HRBR Layout,3.0,250.0,2800.0,3
Sarjapur  Road,3.0,110.0,1750.0,3
Hebbal,2.0,48.0,1053.0,2
Outer Ring Road East,4.0,345.0,4051.0,4
Malleshwaram,5.0,1500.0,5500.0,4
Bommasandra,3.0,80.0,1447.0,3
Balagere,2.0,75.0,1012.0,2
Narayanapura,2.0,92.66,1308.0,2
Green Glen Layout,4.0,230.0,3250.0,4
Hormavu,2.0,53.0,1351.0,1
Gunjur,2.0,49.11,1140.0,2
Jakkur,4.0,260.5,3181.0,4
Uttarahalli,2.0,55.0,1250.0,3
Ambedkar Nagar,2.0,90.0,1424.0,2
Garudachar Palya,2.0,60.6,1320.0,3
Akshaya Nagar,3.0,85.5,1662.0,3
Shanthala Nagar,5.0,2700.0,8321.0,5
Begur Road,2.0,45.0,1200.0,2
Koramangala,3.0,210.0,1975.0,3
Garudachar Palya,2.0,59.5,1295.0,3
Battarahalli,3.0,100.0,1777.0,3
Kadugodi,3.0,108.0,1900.0,3
Sompura,2.0,41.0,1020.0,2
Green Domain Layout,3.0,170.0,2100.0,3
Raja Rajeshwari Nagar,1.0,31.75,648.0,1
Neeladri Nagar,2.0,38.0,1167.0,3
Hoodi,2.0,50.89,1220.0,2
Vittasandra,2.0,67.4,1259.0,2
8th Phase JP Nagar,3.0,80.0,1800.0,3
Cleveland Town,3.0,160.0,1991.0,3
Bannerghatta,3.0,110.0,1665.0,3
"Hoodi Circle, ",2.0,61.0,1234.0,2
Banashankari,2.0,46.79,1170.0,2
Old Airport Road,2.0,60.0,1075.0,2
Electronic City,2.0,54.5,1025.0,2
Thanisandra,3.0,99.0,2000.0,3
Whitefield,4.0,155.0,2500.0,4
Mallasandra,2.0,70.0,1325.0,2
Kadugodi,2.0,68.2,1314.0,2
Kanakpura Road,3.0,136.0,2265.0,3
7th Phase JP Nagar,7.0,170.0,4800.0,7
Syndicate Bank Colony,3.0,66.0,1200.0,3
Kada Agrahara,4.0,65.0,2220.0,3
KR Puram,2.0,51.22,1192.5,2
Hebbal,2.0,99.39,1420.0,2
JP Nagar,2.0,90.87,1300.0,2
Rajaji Nagar,2.0,97.16,1216.0,2
"Off Sarjapur road, ",4.0,342.0,3000.0,4
Begur,3.0,63.0,1559.0,3
Harlur,2.0,87.0,1290.0,2
M C Layout,6.0,245.0,2400.0,6
Whitefield,1.0,55.0,905.0,1
Nanjappa Layout,2.0,55.0,1069.0,2
Sarjapura - Attibele Road,2.0,22.8,829.0,2
Koramangala,2.0,200.0,1900.0,2
Channasandra,2.0,33.45,1115.0,2
Rajaji Nagar,3.0,360.0,2409.0,3
Ambedkar Nagar,4.0,125.0,2150.0,3
Hosakerehalli,5.0,250.0,2400.0,5
BEL Layout,2.0,105.0,1375.0,2
Subramanyapura,2.0,66.5,1313.0,2
Attibele,4.0,275.0,3640.0,4
Akshayanagara East,3.0,108.0,1693.0,3
JCR Layout,2.0,41.75,1160.0,2
Sri Kanteshwara Nagar,3.0,200.0,1200.0,3
Subramanyapura,2.0,79.0,1255.0,3
Bellari Road,2.0,45.0,900.0,2
Uttarahalli,3.0,88.0,1700.0,3
Harlur,3.0,115.0,1749.0,3
Dasanapura,3.0,65.0,1500.0,2
Varanasi,2.0,48.0,1175.0,2
Akshaya Nagar,2.0,60.0,1280.0,2
Abbaiah Reddy Layout,2.0,50.0,1200.0,2
Ramagondanahalli,2.0,115.0,1610.0,3
TC Palaya,2.0,66.0,1200.0,2
9th Phase JP Nagar,2.0,50.0,1127.0,2
Indira Nagar,2.0,102.0,1210.0,2
Thigalarapalya,4.0,380.0,4190.0,4
Tata Nagar,2.0,70.0,1364.0,2
Whitefield,3.0,146.0,2268.0,4
RK Layout 2nd Stage,2.0,77.5,1150.0,3
Tirumanahalli,2.0,39.5,1146.0,2
Magadi Road,2.0,55.0,1345.0,2
Mylasandra,2.0,41.0,1110.0,2
Kengeri,2.0,36.0,750.0,2
Motappa Layout,2.0,49.5,1156.0,2
Pattandur Agrahara,2.0,59.8,1247.0,2
Mangammanapalya,2.0,60.0,1058.0,2
Kaggalipura,2.0,48.0,950.0,2
Marathahalli,2.0,58.86,1215.0,2
Raghuvanahalli,1.0,30.0,900.0,1
Hennur Road,3.0,174.0,2350.0,3
 Devarabeesana Halli,3.0,150.0,1672.0,3
Laggere,5.0,125.0,2800.0,5
MCECHS  layout,2.0,65.0,1500.0,3
Geddalahalli,2.0,65.0,1400.0,2
8th Phase JP Nagar,4.0,130.0,2700.0,4
Bommasandra,2.0,37.46,920.0,2
Sarjapur  Road,3.0,70.0,1200.0,3
Brindavan Nagar,3.0,139.0,1250.0,3
Hosakerehalli,4.0,153.0,1817.0,3
Cooke Town,6.0,375.0,2043.0,5
HSR Layout,2.0,46.0,1140.0,2
Yelahanka,4.0,450.0,4346.0,4
Haralur Road,2.0,56.0,1464.0,2
Ambedkar Colony,3.0,130.0,1468.0,2
Electronics City Phase 1,2.0,82.0,1555.0,3
Kadubeesanahalli,2.0,35.0,970.0,2
Seetharampalya,2.0,53.0,1166.0,2
Konanakunte,3.0,317.0,2779.0,3
Electronic City,3.0,58.0,1350.0,3
Mariyannapalya,2.0,46.0,900.0,2
Kanaka Nagar,3.0,55.0,1190.0,3
Kodichikkanahalli,2.0,75.0,1495.0,3
Indira Nagar,2.0,105.0,1224.0,2
Banashankari Stage III,2.0,68.0,1350.0,3
Green Glen Layout,2.0,56.8,940.0,2
Raja Rajeshwari Nagar,2.0,55.0,1100.0,2
Kaikondrahalli,2.0,61.0,1300.0,2
Palace Road,2.0,145.0,1480.0,3
Hoodi,2.0,46.37,1105.0,2
Sarjapur  Road,3.0,200.0,2600.0,3
Yelahanka,3.0,76.3,1517.0,3
MCECHS  layout,3.0,65.0,1500.0,3
Marathahalli,2.0,73.0,1365.0,2
CV Raman Nagar,2.0,98.0,1392.0,2
Kodigehalli,2.0,33.66,1086.0,2
Hennur Road,3.0,93.94,1586.0,3
Hennur,2.0,60.0,1100.0,2
Electronic City Phase II,2.0,30.75,1065.0,2
TC Palaya,2.0,120.0,1500.0,3
7th Phase JP Nagar,2.0,120.0,1575.0,3
Hennur Road,3.0,123.0,1975.0,3
Nelamangala,2.0,24.0,820.0,2
Gubbalala,3.0,110.0,1745.0,3
Nagarbhavi,2.0,60.0,1223.0,2
Ananth Nagar,2.0,65.0,1200.0,3
Basaveshwara Nagar,2.0,90.0,1200.0,2
Binny Pete,1.0,46.08,665.0,1
Bharathi Nagar,2.0,70.0,1351.0,2
Hebbal,3.0,83.87,1355.0,3
Sector 7 HSR Layout,3.0,300.0,3900.0,3
Amruthahalli,2.0,60.0,900.0,2
Harlur,4.0,260.0,3385.0,4
Pulikeshi Nagar,3.0,285.0,2280.0,3
Hoodi,2.0,53.0,1247.0,2
Domlur Layout,3.0,200.0,2000.0,3
Balagere,2.0,68.38,1020.07,2
B Narayanapura,2.0,73.0,1460.0,3
Garudachar Palya,2.0,52.8,1150.0,2
Babusapalaya,2.0,46.0,1141.0,2
Doddaballapur,4.0,325.0,4200.0,4
Hosa Road,2.0,125.0,1665.0,3
Kanakapura,2.0,64.0,1295.0,2
Haralur Road,2.0,78.0,1230.0,2
Anand Nagar,2.0,75.0,1080.0,3
Kaggalipura,2.0,60.0,1000.0,2
Whitefield,1.0,32.79,630.5,1
Rayasandra,3.0,75.0,1708.0,3
Thanisandra,3.0,115.0,1697.0,3
Hosa Road,1.0,28.29,615.0,1
Banashankari,2.0,83.0,1350.0,3
Jalahalli,2.0,32.49,1083.0,2
Gottigere,2.0,65.0,1460.0,3
Babusapalaya,2.0,58.0,1084.0,2
Bommasandra,2.0,41.43,1035.0,2
Vijaya Bank Layout,2.0,150.0,2400.0,3
Hosur Road,1.0,21.0,460.0,1
Sarjapur,3.0,78.0,1200.0,3
Raghuvanahalli,2.0,35.0,1070.0,2
Hegde Nagar,3.0,140.0,1801.0,3
Whitefield,3.0,115.0,1697.0,3
AECS Layout,2.0,65.0,1199.0,2
Iblur Village,3.0,220.0,2300.0,3
Wilson Garden,2.0,75.0,1125.0,2
Anandapura,2.0,67.0,1200.0,2
Subramanyapura,2.0,41.0,1050.0,2
Nagarbhavi,2.0,49.0,956.0,2
Sarjapur,2.0,30.0,1000.0,2
Dooravani Nagar,3.0,95.0,1596.0,3
Kanakpura Road,2.0,89.06,1296.0,2
Challaghatta,3.0,123.0,1639.0,3
Electronic City Phase II,2.0,61.25,1219.0,2
Bannerghatta Road,2.0,73.0,1218.0,2
Nyanappana Halli,2.0,37.0,920.0,2
2nd Phase Judicial Layout,1.0,26.0,525.0,1
Ramagondanahalli,2.0,65.0,920.0,2
Dommasandra,3.0,68.0,2700.0,4
Indira Nagar 3rd Stage,3.0,199.0,1740.0,3
Lingadheeranahalli,2.0,90.0,1530.0,3
Gokula Extension,2.0,90.0,1372.0,3
Jakkur,3.0,131.0,1950.0,3
Hoysalanagar,2.0,40.0,885.0,2
Vijayanagar,2.0,225.0,1380.0,2
Uttarahalli,2.0,43.0,1085.0,2
Bhoganhalli,4.0,121.0,1451.5,4
Ramakrishnappa Layout,5.0,720.0,6200.0,5
AGS Layout,2.0,59.6,1490.0,3
Vishwanatha Nagenahalli,4.0,99.0,1650.0,4
Bellandur,2.0,57.0,1286.0,2
KR Garden,2.0,63.0,925.0,2
Bellandur,4.0,230.0,3016.0,4
Haralur Road,2.0,44.0,1000.0,2
Lakshminarayana Pura,2.0,100.0,1336.0,2
Yeshwanthpur,1.0,36.85,673.0,1
Anandapura,2.0,58.0,1200.0,2
Malleshwaram,3.0,160.0,1600.0,3
Mallathahalli,2.0,79.0,1200.0,2
Indira Nagar,4.0,750.0,2480.0,6
Jayamahal Extension,3.0,270.0,2500.0,3
Sector 2 HSR Layout,2.0,65.0,1143.0,2
Laxminarayana Layout,3.0,145.0,1584.0,4
Koramangala,3.0,286.0,2292.0,3
Kothanur,3.0,71.0,1460.0,3
Sanjay nagar,3.0,250.0,3300.0,5
Chikkalasandra,2.0,48.0,1230.0,2
Yelahanka New Town,1.0,20.0,650.0,1
Benson Town,2.0,120.0,1480.0,2
Dooravani Nagar,3.0,115.0,1570.0,3
Sadashiva Nagar,3.0,400.0,3000.0,3
Banagiri Nagar,3.0,380.0,1350.0,3
Sarjapur  Road,5.0,600.0,4000.0,4
Ramamurthy Nagar,2.0,68.0,1100.0,2
Kathriguppe,2.0,87.01,1350.0,3
Kasavanhalli,3.0,116.0,1719.0,3
Budigere,1.0,35.0,664.0,1
Sonnenahalli,2.0,50.53,1011.0,2
Akshya Nagar,6.0,130.0,2400.0,6
Basaveshwara Nagar Yelahanka,3.0,85.0,1680.0,3
Yeshwanthpur,2.0,49.475,717.0,2
Whitefield,2.0,150.0,1520.0,3
Kothanur,3.0,150.0,1760.0,3
Pattandur Agrahara,2.0,33.0,875.0,2
Hennur,2.0,48.0,1231.0,2
Somasundara Palya,2.0,74.0,1174.0,2
Munnekollal,3.0,75.0,1560.0,3
HOSUR MAIN ROAD,2.0,56.0,1464.0,2
Kanakpura Road,3.0,130.0,2200.0,3
Shivaji Nagar,2.0,55.0,850.0,2
Sahyadri Layout,3.0,180.0,1750.0,3
Mathikere SBM colony,1.0,160.0,1500.0,2
"white field,kadugodi",6.0,275.0,2100.0,6
Kodihalli,4.0,260.0,2408.0,3
Indira Nagar,3.0,225.0,2070.0,3
Mahalakshmi Layout,5.0,158.0,1575.0,4
Kodichikkanahalli,4.0,180.0,3250.0,4
Uttarahalli,2.0,47.0,1175.0,2
Channasandra,2.0,34.5,1030.0,2
Hebbal,2.0,115.0,1440.0,2
Hoodi,2.0,84.0,1500.0,2
Thanisandra,1.0,62.1,1380.0,1
Bagalur,2.0,50.0,1200.0,2
Vinayak Nagar,1.0,36.5,705.0,1
Hegde Nagar,3.0,103.0,1584.01,3
P Krishnappa Layout,3.0,77.0,1340.0,3
Green Garden Layout,3.0,70.0,1800.0,3
R.T. Nagar,2.0,45.0,1200.0,2
Sarjapur  Road,1.0,40.0,685.0,1
Kalkere,2.0,42.0,925.0,2
Crimson Layout,2.0,57.0,1230.0,2
Kodichikkanahalli,2.0,52.0,1125.0,2
Hebbal,2.0,54.0,1100.0,2
Jigani,3.0,149.0,2400.0,3
Adityanagar,1.0,41.0,1260.0,1
Ambedkar Nagar,4.0,290.0,3530.0,4
HSR Layout,2.0,60.0,1185.0,2
RMV 2nd Stage,2.0,216.0,1200.0,2
Hennur,2.0,58.0,1255.0,2
Kudlu Gate,3.0,89.0,1335.0,3
Dodda Nekkundi,3.0,132.0,1999.0,3
Kanaka Nagar,2.0,125.0,1200.0,2
Kundalahalli,3.0,110.0,1397.0,3
Cooke Town,4.0,450.0,3950.0,4
Yelahanka New Town,2.0,130.0,1200.0,2
Chikka Tirupathi,3.0,95.0,1616.0,3
Raja Rajeshwari Nagar,2.0,38.55,1140.0,2
Kanakpura Road,1.0,30.0,525.0,1
Varthur,2.0,98.0,1200.0,3
Bagalakunte,1.0,162.0,700.0,1
Balagere,2.0,81.0,1205.47,2
T Dasarahalli,3.0,130.0,1200.0,3
Electronic City,3.0,75.0,1700.0,3
Kundalahalli,1.0,650.0,2400.0,1
Thanisandra,1.0,60.84,923.0,1
Green Glen Layout,2.0,48.0,1050.0,2
Indira Nagar,1.0,70.0,500.0,1
Thirumenahalli,2.0,39.5,1100.0,2
Thanisandra,3.0,93.25,1743.0,3
Lavelle Road,3.0,425.0,2500.0,3
Mysore Road,2.0,110.0,1512.0,3
Dollars Colony,5.0,385.0,3100.0,4
Rajiv Gandhi Nagar,2.0,40.0,1219.0,2
Sarjapura - Attibele Road,3.0,85.0,2400.0,3
Hormavu,2.0,44.4,1141.0,2
Anandapura,2.0,43.1,1151.0,2
Rajankunte,3.0,270.0,3259.0,3
Bannerghatta Road,2.0,65.12,1115.0,2
Kaggadasapura,2.0,53.0,1200.0,2
Singasandra,2.0,65.0,1300.0,2
Bellandur,2.0,85.0,1457.0,2
Kannamangala,2.0,55.0,1262.0,2
Ananth Nagar,2.0,22.5,900.0,2
Attibele,1.0,17.0,420.0,1
Kanakapura,2.0,46.39,1160.0,2
Kasavanhalli,2.0,50.0,1115.0,2
JP Nagar,2.0,85.4,1315.0,3
Babusapalaya,2.0,57.0,1500.0,2
HSR Layout,2.0,68.0,1127.0,2
Kundalahalli,3.0,104.0,1397.0,3
Sompura,2.0,28.0,1090.0,2
Jakkur,2.0,76.0,1230.0,2
6th Block Rajaji Nagar,3.0,190.0,3200.0,4
Talaghattapura,3.0,121.0,1868.0,3
Uttarahalli,3.0,91.2,1689.28,3
Tindlu,2.0,100.0,1350.0,2
Channasandra,6.0,180.0,4200.0,6
Uttarahalli,2.0,85.0,1310.0,3
MLA Layout,2.0,40.0,970.0,2
Kundalahalli,3.0,108.0,1397.0,3
Sarjapur,2.0,40.0,1157.0,2
Kasavanhalli,2.0,61.2,1125.0,2
Sonnenahalli,2.0,42.0,1157.0,2
Sarjapur  Road,2.0,82.0,1241.0,2
Binny Pete,1.0,62.0,660.0,1
Rajiv Nagar,4.0,148.0,2340.0,4
Venkatadri Layout,1.0,42.0,596.0,1
Koramangala Industrial Layout,16.0,550.0,10000.0,16
Ambedkar Colony,3.0,190.0,1910.0,3
Brookefield,2.0,80.0,1139.0,2
Sarjapura - Attibele Road,2.0,28.41,1033.0,2
Chandapura,2.0,42.0,877.0,2
Electronics City Phase 1,2.0,75.0,1340.0,2
B Narayanapura,2.0,70.0,1405.0,3
Siddapura,3.0,65.0,1800.0,3
 Devarabeesana Halli,3.0,149.0,1750.0,3
Motappa Layout,2.0,65.0,1360.0,3
Byrasandra,2.0,63.0,985.0,2
Victoria Layout,2.0,129.0,1300.0,2
7th Phase JP Nagar,3.0,150.0,1850.0,3
Rustam Bagh Layout,2.0,88.0,1490.0,3
Hormavu,2.0,42.3,1130.0,2
Yelachenahalli,2.0,55.0,1080.0,2
Hennur Road,2.0,94.5,1290.0,3
Hosa Road,2.0,85.28,1318.0,3
Electronic City,2.0,68.0,1128.0,2
Meenakunte,4.0,255.0,4428.0,4
Yelahanka,2.0,85.0,1327.0,2
Basapura,2.0,55.0,1301.0,2
Thippasandra,1.0,30.0,650.0,1
Varthur,3.0,67.75,1200.0,3
Banagiri Nagar,2.0,89.99,1500.0,3
Electronic City Phase II,2.0,28.88,1000.0,2
Jakkur,3.0,160.0,1819.18,3
Nagarbhavi,1.0,175.0,900.0,1
Hebbal,3.0,83.87,1355.0,3
Sarakki Nagar,4.0,270.0,2145.0,3
Malleshwaram,4.0,300.0,2475.0,3
Kaggadasapura,2.0,30.0,1118.0,2
Roopena Agrahara,1.0,42.0,910.0,1
Madiwala,3.0,39.0,1250.0,3
Hosakerehalli,2.0,100.0,1304.0,2
CV Raman Nagar,2.0,47.5,1070.0,2
Hebbal,3.0,395.0,3500.0,3
Hoodi,2.0,89.37,1132.0,2
Rajarajeshwari Nagara,3.0,85.0,2000.0,3
Sector 2 HSR Layout,1.0,65.0,794.0,1
Raja Rajeshwari Nagar,2.0,43.59,1090.0,2
Gottigere,3.0,70.0,1500.0,3
1st Phase JP Nagar,3.0,225.0,2059.0,3
Kanakpura Road,1.0,30.0,525.0,1
Bhoganhalli,2.0,75.97,1447.0,2
Whitefield,2.0,75.0,1269.0,2
KR Layout,4.0,700.0,4800.0,4
Talaghattapura,2.0,28.0,1150.0,2
Marathahalli,2.0,70.0,1208.0,2
Ramamurthy Nagar,2.0,45.5,1185.0,2
Laggere,3.0,130.0,1200.0,3
Anekal,2.0,34.0,888.0,2
Celebrity Paradise Layout,1.0,22.49,532.0,1
St Thomas Town,3.0,62.0,1060.0,3
Electronic City,1.0,35.0,700.0,1
Ckikkakammana Halli,2.0,42.0,902.0,2
Uttarahalli,2.0,47.0,1175.0,2
Binny Pete,2.0,122.0,1365.0,2
Doddathoguru,2.0,51.0,984.0,2
Jalahalli East,3.0,96.0,1475.0,3
Haralur Road,2.0,79.0,1300.0,2
Munivenkatppa Layout,2.0,160.0,1550.0,2
Akshaya Nagar,3.0,95.0,1666.0,3
Akshaya Nagar,4.0,160.0,1410.0,4
Yelahanka,5.0,800.0,4025.0,4
Murugeshpalya,3.0,91.0,1845.0,3
Sarjapura - Attibele Road,3.0,52.0,1676.0,3
Uttarahalli,2.0,63.0,1137.0,2
Electronic City,2.0,70.5,1360.0,3
Vijaya Bank Layout,2.0,70.0,1374.0,3
Judicial Layout,3.0,155.0,1700.0,3
Ferrar Nagar,4.0,125.0,2145.0,4
Kasavanhalli,3.0,151.0,2170.0,3
Bank Of Baroda Colony,2.0,55.0,1080.0,2
Electronic City Phase II,3.0,100.0,1790.0,3
Doddathoguru,1.0,17.0,550.0,1
Somasundara Palya,2.0,48.0,1033.0,2
Kamala Nagar,2.0,80.0,1000.0,2
Kumarapalli,2.0,52.6,1240.0,2
Kambipura,2.0,39.0,883.0,2
Outer Ring Road East,2.0,97.0,1500.0,3
Marathahalli,3.0,139.0,1730.0,3
Whitefield,3.0,79.0,1545.0,3
Marenahalli,4.0,140.0,1865.0,3
Hebbal Kempapura,2.0,40.0,1150.0,2
HAL 3rd Stage,2.0,49.0,1200.0,2
Marsur,3.0,120.0,1200.0,3
Kaikondrahalli,4.0,108.0,1700.0,4
Lingadheeranahalli,3.0,120.0,1682.0,3
Hennur Road,2.0,49.5,901.0,2
Ambalipura,3.0,120.0,1730.0,3
EPIP Zone,3.0,102.0,1500.0,3
Nagawara Junction,4.0,245.0,3500.0,4
Lingarajapuram,2.0,59.86,1203.0,2
Horamavu Banaswadi,2.0,54.0,1357.0,2
Vasantha Vallabha Nagar,3.0,76.0,1600.0,3
Yelahanka New Town,1.0,13.5,350.0,1
Ramamurthy Nagar,3.0,200.0,1400.0,3
Sarjapur  Road,1.0,46.95,835.0,1
Chandra Layout,3.0,160.0,815.0,2
Haralur Road,2.0,80.0,1444.0,3
Kanakapura,2.0,55.0,1277.0,2
Lingadheeranahalli,3.0,94.71,1521.0,3
Maithri Layout,2.0,40.0,1134.0,2
Vasanthapura,2.0,34.82,995.0,2
Marathahalli,1.0,92.0,1325.0,2
Kothanur,6.0,150.0,4000.0,6
Marathahalli,3.0,90.0,1525.0,3
Raja Rajeshwari Nagar 5th Stage,2.0,73.0,1320.0,3
Electronics City Phase 1,1.0,23.0,650.0,1
Old Airport Road,2.0,167.0,1858.0,3
Electronic City Phase II,2.0,40.0,769.0,2
Electronic City,3.0,105.0,1571.0,3
Hennur Road,3.0,86.56,1445.0,3
Hosur Road,2.0,135.0,1590.0,3
Bommasandra,2.0,49.0,902.0,2
Sarjapur,3.0,140.0,2238.0,3
Haralur Road,2.0,68.0,1088.0,2
Nanjappa Garden,6.0,205.0,2150.0,6
Kundalahalli,3.0,150.0,1920.0,3
Margondanahalli,2.0,57.0,1000.0,2
Chennammana Kere,2.0,56.1,1100.0,2
Horamavu Agara,2.0,43.09,1106.0,2
Thanisandra,1.0,45.69,923.0,1
Sarjapur  Road,3.0,285.0,2900.0,3
Lakshminarayana Pura,2.0,75.0,1175.0,2
Thubarahalli,2.0,55.0,975.0,2
Hebbal,4.0,180.0,2400.0,3
Harlur,3.0,133.0,1758.0,3
Nagarbhavi,3.0,265.0,1200.0,3
Hebbal,2.0,77.68,1255.0,3
Pai Layout,2.0,50.0,1100.0,2
Ramamurthy Nagar,2.0,46.8,1170.0,2
Vayunandana Layout,5.0,120.0,2400.0,5
Hebbal,2.0,107.0,1420.0,2
Kanakpura Road,3.0,115.0,1591.0,3
7th Phase JP Nagar,3.0,120.0,1680.0,3
Hoodi,2.0,57.63,1055.0,2
Iblur Village,3.0,129.0,1918.0,3
Sarjapur  Road,2.0,76.0,1280.0,2
Talaghattapura,3.0,126.0,2106.0,3
"EPIP AREA, WHITEFIELD",3.0,139.0,1801.0,3
Rajaji Nagar,3.0,288.0,1718.0,2
Hebbal,2.0,92.0,1320.0,2
1st Stage Domlur,2.0,65.0,1350.0,3
"RMV extension stage 2, rmv extension",4.0,324.0,2990.0,4
Kalyan nagar,5.0,300.0,3800.0,4
Bannerghatta Road,3.0,100.0,1893.0,3
Chandapura,2.0,43.0,1107.0,3
Lakshminarayana Pura,2.0,75.0,1190.0,2
Kalhalli,2.0,160.0,2400.0,2
Kumaraswami Layout,2.0,48.5,1000.0,2
Jalahalli,3.0,155.0,2113.0,3
KR Puram,2.0,46.0,1100.0,2
Kudlu,2.0,43.0,1027.0,2
Tavarekere,3.0,40.0,1250.0,3
Kamakshipalya,2.0,75.0,1150.0,2
Hadosiddapura,3.0,165.0,1200.0,3
Kudlu Gate,1.0,52.0,703.0,1
Vijaya Bank Colony,2.0,62.0,1400.0,3
Bellandur,2.0,51.0,1195.0,2
Narayanapura,2.0,69.1,1302.0,2
Begur Road,3.0,74.4,1583.0,3
Kumarapalli,2.0,60.0,1488.0,3
Whitefield,4.0,260.0,3262.0,4
Electronic City,3.0,104.0,1600.0,3
Old Airport Road,2.0,90.0,1150.0,2
Lakkasandra,9.0,166.0,4500.0,9
Sarjapur  Road,2.0,78.0,1263.0,2
Kanakpura Road,2.0,85.0,1299.0,2
Banashankari,2.0,78.0,1330.0,2
"JP Nagar 8th Phase, ",3.0,82.0,1853.0,3
Kachanayakanahalli,2.0,35.0,861.0,2
Bannerghatta Road,3.0,95.0,1600.0,3
Nagaraja Garden,2.0,62.8,1256.0,2
Tejaswini Nagar,2.0,80.0,1390.0,3
Ashwath Nagar,2.0,90.0,1550.0,3
Hebbal,2.0,49.0,919.0,2
Gunjur,2.0,44.0,1195.0,2
